 79:    79   S0(e= 27, idx=108) | S1(e= 54, idx= 54) | S2(e=108, idx= 27) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 80:    80   S0(e=107, idx=107) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 81:    81   S0(e=107, idx=107) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 82:    82   S0(e=107, idx=107) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 83:    83   S0(e=107, idx=107) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 84:    84   S0(e= 43, idx=106) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 85:    85   S0(e= 43, idx=106) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 86:    86   S0(e= 43, idx=106) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 87:    87   S0(e= 43, idx=106) | S1(e= 86, idx= 53) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 88:    88   S0(e= 75, idx=105) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 89:    89   S0(e= 75, idx=105) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 90:    90   S0(e= 75, idx=105) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 91:    91   S0(e= 75, idx=105) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 92:    92   S0(e= 11, idx=104) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 93:    93   S0(e= 11, idx=104) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 94:    94   S0(e= 11, idx=104) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 95:    95   S0(e= 11, idx=104) | S1(e= 22, idx= 52) | S2(e= 44, idx= 26) | S3(e= 88, idx= 13) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 96:    96   S0(e=115, idx=103) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 97:    97   S0(e=115, idx=103) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 98:    98   S0(e=115, idx=103) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 99:    99   S0(e=115, idx=103) | S1(e=102, idx= 51) | S2(e= 76, idx= 25) | S3(e= 24, idx= 12) | S4(e= 48, idx=  6) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
